key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,22.5681,1,0,0,0,0,1,0,1.jpg,4,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
3,0,2.6851,1,0,1,1,1,1,1,2.jpg,5,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,1,6.3675,2,0,2,2,2,1,2,3.jpg,1,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
2,1,7.1392,3,0,3,3,3,1,3,4.jpg,2,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,1,8.5766,4,0,4,4,4,1,4,5.jpg,6,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
3,1,3.5164,5,0,5,5,5,1,5,6.jpg,3,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,1,5.2909,6,0,6,6,6,1,6,7.jpg,6,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
2,1,4.0259,7,0,7,7,7,1,7,8.jpg,2,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,1,4.1862,8,0,8,8,8,1,8,9.jpg,1,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
3,1,10.7022,9,0,9,9,9,1,9,10.jpg,3,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,0,10.1875,9,0,10,10,10,1,10,11.jpg,5,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,0,3.7137,9,0,11,11,11,1,11,12.jpg,4,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
2,1,4.5516,10,0,12,12,12,1,12,13.jpg,2,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,1,5.8537,11,0,13,13,13,1,13,14.jpg,6,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,1,4.1031,12,0,14,14,14,1,14,15.jpg,1,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,0,5.65,12,0,15,15,15,1,15,16.jpg,2,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,1,5.7161,13,0,16,16,16,1,16,17.jpg,1,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,0,10.1378,13,0,17,17,17,1,17,18.jpg,3,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
3,0,10.0999,13,0,18,18,18,1,18,19.jpg,5,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,1,7.1043,14,0,19,19,19,1,19,20.jpg,6,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,0,0.2155,14,0,20,20,20,1,20,21.jpg,4,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,0,0.149,14,0,21,21,21,1,21,22.jpg,3,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
4,1,12.6066,15,0,22,22,22,1,22,23.jpg,4,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
5,1,7.9507,16,0,23,23,23,1,23,24.jpg,5,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,0,6.4547,16,0,24,24,24,1,24,25.jpg,8,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
2,1,6.191,17,0,25,25,25,1,25,26.jpg,2,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
3,1,11.0326,18,0,26,26,26,1,26,27.jpg,3,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
6,0,17.5475,18,0,27,27,27,1,27,28.jpg,8,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
7,1,8.0326,19,0,28,28,28,1,28,29.jpg,7,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
4,1,13.0486,20,0,29,29,29,1,29,30.jpg,4,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
4,0,3.241,20,0,30,30,30,1,30,31.jpg,5,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
7,0,34.9148,20,0,31,31,31,1,31,32.jpg,1,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
1,0,13.699,20,0,32,32,32,1,32,33.jpg,7,105,001,2021-07-25_23h09.37.156,Ravens Progressive Matrices,2021.1.1,Win32,59.7335882
