key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,6.4815,1,0,0,0,0,1,0,1.jpg,4,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
5,1,3.5197,2,0,1,1,1,1,1,2.jpg,5,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
1,1,4.6676,3,0,2,2,2,1,2,3.jpg,1,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
2,1,4.6682,4,0,3,3,3,1,3,4.jpg,2,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
6,1,5.6777,5,0,4,4,4,1,4,5.jpg,6,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
3,1,4.525,6,0,5,5,5,1,5,6.jpg,3,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
6,1,8.2494,7,0,6,6,6,1,6,7.jpg,6,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
2,1,7.8328,8,0,7,7,7,1,7,8.jpg,2,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
1,1,5.6189,9,0,8,8,8,1,8,9.jpg,1,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
1,0,3.2042,9,0,9,9,9,1,9,10.jpg,3,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
2,0,3.0539,9,0,10,10,10,1,10,11.jpg,5,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
2,0,3.8686,9,0,11,11,11,1,11,12.jpg,4,124,001,2021-08-18_17h05.39.533,Ravens Progressive Matrices,2021.1.1,Win32,61.90417234
