key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,14.1079,1,0,0,0,0,1,0,1.jpg,4,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
5,1,21.4356,2,0,1,1,1,1,1,2.jpg,5,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
1,1,3.7589,3,0,2,2,2,1,2,3.jpg,1,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
2,1,4.0428,4,0,3,3,3,1,3,4.jpg,2,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
6,1,4.3282,5,0,4,4,4,1,4,5.jpg,6,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,1,4.8341,6,0,5,5,5,1,5,6.jpg,3,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
6,1,7.8791,7,0,6,6,6,1,6,7.jpg,6,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
2,1,10.338,8,0,7,7,7,1,7,8.jpg,2,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
2,0,8.4097,8,0,8,8,8,1,8,9.jpg,1,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,1,17.1569,9,0,9,9,9,1,9,10.jpg,3,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
6,0,15.9562,9,0,10,10,10,1,10,11.jpg,5,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
1,0,23.0053,9,0,11,11,11,1,11,12.jpg,4,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
2,1,4.3771,10,0,12,12,12,1,12,13.jpg,2,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
4,0,7.3086,10,0,13,13,13,1,13,14.jpg,6,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
1,1,9.7377,11,0,14,14,14,1,14,15.jpg,1,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
2,1,3.6651,12,0,15,15,15,1,15,16.jpg,2,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
1,1,10.4581,13,0,16,16,16,1,16,17.jpg,1,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,1,34.7142,14,0,17,17,17,1,17,18.jpg,3,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,0,4.9087,14,0,18,18,18,1,18,19.jpg,5,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,0,3.7726,14,0,19,19,19,1,19,20.jpg,6,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
4,1,9.8251,15,0,20,20,20,1,20,21.jpg,4,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
1,0,4.9293,15,0,21,21,21,1,21,22.jpg,3,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
4,1,18.9505,16,0,22,22,22,1,22,23.jpg,4,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,0,5.7244,16,0,23,23,23,1,23,24.jpg,5,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
6,0,5.5553,16,0,24,24,24,1,24,25.jpg,8,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
2,1,15.2269,17,0,25,25,25,1,25,26.jpg,2,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,1,8.1376,18,0,26,26,26,1,26,27.jpg,3,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
3,0,2.7996,18,0,27,27,27,1,27,28.jpg,8,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
4,0,17.075,18,0,28,28,28,1,28,29.jpg,7,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
1,0,9.9225,18,0,29,29,29,1,29,30.jpg,4,133,001,2021-08-20_16h10.47.166,Ravens Progressive Matrices,2021.1.1,Win32,60.06366749
