key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,7.7564,1,0,0,0,0,1,0,1.jpg,4,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
5,1,4.7166,2,0,1,1,1,1,1,2.jpg,5,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
1,1,2.9266,3,0,2,2,2,1,2,3.jpg,1,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
2,1,2.4121,4,0,3,3,3,1,3,4.jpg,2,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,1,2.6848,5,0,4,4,4,1,4,5.jpg,6,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
3,1,4.1134,6,0,5,5,5,1,5,6.jpg,3,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,1,4.1405,7,0,6,6,6,1,6,7.jpg,6,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
2,1,2.9325,8,0,7,7,7,1,7,8.jpg,2,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
1,1,5.1137,9,0,8,8,8,1,8,9.jpg,1,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
3,1,4.738,10,0,9,9,9,1,9,10.jpg,3,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
5,1,9.5575,11,0,10,10,10,1,10,11.jpg,5,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,0,3.7867,11,0,11,11,11,1,11,12.jpg,4,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
2,1,3.1592,12,0,12,12,12,1,12,13.jpg,2,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,1,2.6485,13,0,13,13,13,1,13,14.jpg,6,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
1,1,4.7476,14,0,14,14,14,1,14,15.jpg,1,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
2,1,4.8961,15,0,15,15,15,1,15,16.jpg,2,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
1,1,3.4622,16,0,16,16,16,1,16,17.jpg,1,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,0,5.4961,16,0,17,17,17,1,17,18.jpg,3,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
5,1,5.2297,17,0,18,18,18,1,18,19.jpg,5,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,1,4.7465,18,0,19,19,19,1,19,20.jpg,6,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
4,1,8.6352,19,0,20,20,20,1,20,21.jpg,4,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
3,1,6.9218,20,0,21,21,21,1,21,22.jpg,3,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,0,4.5831,20,0,22,22,22,1,22,23.jpg,4,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,0,11.4976,20,0,23,23,23,1,23,24.jpg,5,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
6,0,4.3847,20,0,24,24,24,1,24,25.jpg,8,ele,001,2021-11-09_15h00.35.278,Ravens Progressive Matrices,2021.1.1,Win32,59.95203837
